r,g,b,path,material
48,208,16,"Props_1F/prop_fire_extinguisher/Ext_Handle","ExtSilver"
80,208,16,"Grime/Decal_Scratch_01_105_1","Decal_Scratch_01"
112,208,16,"Props_1F/prop_fluorescent_normal/FL_Cover","FL_Cover"
144,208,16,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
176,208,16,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,208,16,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
240,208,16,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
16,240,16,"Props_1F/prop_side_table/ST_Leg0.22-0.18","Tbl_Metal"
48,240,16,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
80,240,16,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
112,240,16,"Grime/Decal_Scratch_01_58_-1","Decal_Scratch_01"
144,240,16,"Props_1F/prop_noticeboard/BB_Frame","BoardFrame"
176,240,16,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
208,240,16,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,240,16,"HospitalBed_2/Leg.003","BedMetal"
16,16,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
48,16,48,"Props_1F/prop_magazine/Mag_Pages","Mag_Paper"
80,16,48,"Props_1F/prop_fluorescent_normal/FL_Mount-0.25","FL_Metal"
112,16,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
144,16,48,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
176,16,48,"Grime/Decal_Scratch_01_45_1","Decal_Scratch_01"
208,16,48,"Grime/Decal_Scratch_01_53_1","Decal_Scratch_01"
240,16,48,"Grime/Decal_Water_01_46_-1","Decal_Water_01"
16,48,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
48,48,48,"IVStand_1/Wheel","IVMetal"
80,48,48,"Grime/Decal_Scratch_01_42_-1","Decal_Scratch_01"
112,48,48,"Props_1F/prop_fire_extinguisher/Ext_Nozzle","ExtBlack"
144,48,48,"Grime/Decal_Scratch_01_66_-1","Decal_Scratch_01"
176,48,48,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
208,48,48,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
240,48,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
16,80,48,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
48,80,48,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
80,80,48,"Props_1F/prop_fluorescent_normal/PackLamp/Box001","Mat_Lamp"
112,80,48,"HospitalBed_2/Leg","BedMetal"
144,80,48,"Grime/Decal_Scratch_01_43_1","Decal_Scratch_01"
176,80,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
208,80,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,80,48,"Grime/Decal_Mold_01_19_1","Decal_Mold_01"
16,112,48,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
48,112,48,"HospitalBed_2/Leg.002","BedMetal"
80,112,48,"ExtraProps_1F/NurseCounter_1F/Chart_3","Prop_PaperFlat"
112,112,48,"Props_1F/prop_iv_stand_v2/IV_Caster1","IV_Rust"
144,112,48,"IVStand_2/Wheel.002","IVMetal"
176,112,48,"Grime/Decal_Mold_02_54_-1","Decal_Mold_02"
208,112,48,"Props_1F/prop_magazine/Mag_Pages","Mag_Paper"
240,112,48,"Grime/Decal_Scratch_01_78_-1","Decal_Scratch_01"
16,144,48,"Light_4/Cap","FluorTube"
48,144,48,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
80,144,48,"Props_1F/prop_noticeboard/BB_Cork","BoardCork"
112,144,48,"Props_1F/prop_iv_stand_v2/IV_Bag1","IV_Bag"
144,144,48,"HospitalBed_3/Pillow","BedMetal"
176,144,48,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
208,144,48,"Props_1F/prop_side_table/ST_Leg0.220.18","Tbl_Metal"
240,144,48,"Props_1F/prop_fluorescent_loose/PackLamp/Box001","Mat_Lamp"
16,176,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
48,176,48,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
80,176,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,176,48,"IVStand_1/Base.001","IVMetal"
144,176,48,"Grime/Decal_Water_01_14_-1","Decal_Water_01"
176,176,48,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
208,176,48,"Props_1F/prop_wall_clock/Clock_Frame","ClockFrame"
240,176,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
16,208,48,"Props_1F/prop_iv_stand_v2/IV_Leg4","IV_Rust"
48,208,48,"Door_Room3/DoorPanel","DoorWood"
80,208,48,"Grime/Decal_Mold_02_60_-1","Decal_Mold_02"
112,208,48,"ExtraProps_1F/NurseShelfChart_3","Prop_PaperFlat"
144,208,48,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
176,208,48,"Grime/Decal_Scratch_01_27_1","Decal_Scratch_01"
208,208,48,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
240,208,48,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
16,240,48,"PackProps_1F/Bedding_1F_1/SM_Bed_01_Base","Mat_Bed_Metal_01"
48,240,48,"Props_1F/prop_fluorescent_normal/FL_Mount0.25","FL_Metal"
80,240,48,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,240,48,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
144,240,48,"HospitalBed_1/SideRail.001","BedMetal"
176,240,48,"ExtraProps_1F/NurseShelfChart_2","Prop_PaperFlat"
208,240,48,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
240,240,48,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
16,16,80,"Grime/Decal_Water_01_51_1","Decal_Water_01"
48,16,80,"Props_1F/prop_window/Win_Frame_R","Win_Wood"
80,16,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,16,80,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
144,16,80,"Props_1F/prop_side_table/ST_Body","Tbl_Metal"
176,16,80,"Props_1F/prop_side_table/ST_Leg-0.220.18","Tbl_Metal"
208,16,80,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
240,16,80,"HospitalBed_1/Headboard","BedMetal"
16,48,80,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
48,48,80,"Props_1F/prop_fire_extinguisher/Ext_Top","ExtSilver"
80,48,80,"Door_Room3/TopFrame","DoorWood"
112,48,80,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
144,48,80,"Props_1F/prop_window/Win_Frame_B","Win_Wood"
176,48,80,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
208,48,80,"PackProps_1F/Bedding_1F_1/SM_Bed_01_S","Mat_Bed_Metal_01s"
240,48,80,"HospitalBed_1/Leg.003","BedMetal"
16,80,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
48,80,80,"ExtraProps_1F/Ext_1F_R/Lever","Prop_ExtMetal"
80,80,80,"Props_1F/prop_fluorescent_normal/FL_Mount-0.25","FL_Metal"
112,80,80,"ExtraProps_1F/NurseCounter_1F/ShelfChart_3","Prop_PaperFlat"
144,80,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
176,80,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
208,80,80,"Props_1F/prop_fluorescent_normal/FL_Cover","FL_Cover"
240,80,80,"Props_1F/prop_wall_clock/Clock_Hour","ClockHand"
16,112,80,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
48,112,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
80,112,80,"ExtraProps_1F/NurseCounter_1F/ShelfChart_2","Prop_PaperFlat"
112,112,80,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
144,112,80,"Props_1F/prop_iv_stand_v2/IV_Caster0","IV_Rust"
176,112,80,"IVStand_2/Base.001","IVMetal"
208,112,80,"HospitalBed_1/Pillow","BedMetal"
240,112,80,"ExtraProps_1F/Paper_1F_A","Prop_PaperFlat"
16,144,80,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
48,144,80,"Grime/Decal_Water_01_12_-1","Decal_Water_01"
80,144,80,"ExtraProps_1F/NurseShelfChart_0","Prop_PaperFlat"
112,144,80,"Grime/Decal_Mold_02_33_1","Decal_Mold_02"
144,144,80,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
176,144,80,"Grime/Decal_Scratch_01_91_1","Decal_Scratch_01"
208,144,80,"Grime/Decal_Water_01_85_1","Decal_Water_01"
240,144,80,"Grime/Decal_Scratch_01_59_1","Decal_Scratch_01"
16,176,80,"IVStand_1/Wheel.002","IVMetal"
48,176,80,"Grime/Decal_Scratch_01_109_1","Decal_Scratch_01"
80,176,80,"Wainscot_1F/WL","Wainscot_Green"
112,176,80,"Grime/Decal_Scratch_01_21_1","Decal_Scratch_01"
144,176,80,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
176,176,80,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
208,176,80,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
240,176,80,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
16,208,80,"Props_1F/prop_mirror/Mir_Rust0.30.4","MirRust0.30.4"
48,208,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
80,208,80,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
112,208,80,"Props_1F/prop_fluorescent_normal/FL_Frame","FL_Metal"
144,208,80,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
176,208,80,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
208,208,80,"Props_1F/prop_trash_can/Trash_PedalArm","TrashMetal"
240,208,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
16,240,80,"Grime/Decal_Scratch_01_30_-1","Decal_Scratch_01"
48,240,80,"Grime/Decal_Water_01_34_-1","Decal_Water_01"
80,240,80,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
112,240,80,"Grime/Decal_Water_01_38_-1","Decal_Water_01"
144,240,80,"Props_1F/prop_magazine/Mag_Spine","Mag_Paper"
176,240,80,"Props_1F/prop_noticeboard/BB_Frame_B","BoardFrame"
208,240,80,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
240,240,80,"Grime/Decal_Scratch_01_88_-1","Decal_Scratch_01"
16,16,112,"PackProps_1F/Bed_1F_0/SM_Bed_01_Base","Mat_Bed_Metal_01"
48,16,112,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
80,16,112,"Grime/Decal_Water_01_29_1","Decal_Water_01"
112,16,112,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
144,16,112,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
176,16,112,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
208,16,112,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
240,16,112,"Props_1F/prop_iv_stand_v2/IV_Caster4","IV_Rust"
16,48,112,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
48,48,112,"Grime/Decal_Water_01_39_1","Decal_Water_01"
80,48,112,"Props_1F/prop_fire_extinguisher/Ext_Bracket_H2","ExtSilver"
112,48,112,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
144,48,112,"Grime/Decal_Water_01_35_1","Decal_Water_01"
176,48,112,"Grime/Decal_Water_01_5_1","Decal_Water_01"
208,48,112,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
240,48,112,"Props_1F/prop_iv_stand_v2/IV_Leg0","IV_Rust"
16,80,112,"Grime/Decal_Scratch_01_96_-1","Decal_Scratch_01"
48,80,112,"ExtraProps_1F/Ext_1F_R/Label","Prop_ExtLabel"
80,80,112,"Props_1F/prop_iv_stand_v2/IV_Caster3","IV_Rust"
112,80,112,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
144,80,112,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
176,80,112,"Props_1F/prop_wall_clock/Clock_Face","ClockFace"
208,80,112,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
240,80,112,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
16,112,112,"Grime/Decal_Scratch_01_102_-1","Decal_Scratch_01"
48,112,112,"HospitalBed_1/Mattress","BedMetal"
80,112,112,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
112,112,112,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
144,112,112,"Props_1F/prop_window/Win_Curtain_L","Curtain"
176,112,112,"Props_1F/prop_iv_stand_v2/IV_Bag1","IV_Bag"
208,112,112,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
240,112,112,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
16,144,112,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
48,144,112,"Props_1F/prop_fluorescent_broken/FL_Cover_L","BrokenGlass"
80,144,112,"Props_1F/prop_fire_extinguisher/Ext_Body","ExtRed"
112,144,112,"ExtraProps_1F/Paper_1F_B","Prop_PaperFlat"
144,144,112,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
176,144,112,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
208,144,112,"Decals_1F/WaterDrip_1F_b","Decal_Water_01"
240,144,112,"Grime/Decal_Scratch_01_7_1","Decal_Scratch_01"
16,176,112,"Props_1F/prop_side_table/ST_Cup","Glass"
48,176,112,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
80,176,112,"HospitalBed_2/Pillow","BedMetal"
112,176,112,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
144,176,112,"Props_1F/prop_iv_stand_v2/IV_Pole","IV_Metal"
176,176,112,"Light_1/Tube","FluorTube"
208,176,112,"Light_2/Tube","FluorTube"
240,176,112,"Props_1F/prop_iv_stand_v2/IV_Leg1","IV_Rust"
16,208,112,"PackArch_1F/P_Wall_02/Wall_02","Mat_Walllime01_C"
48,208,112,"PackProps_1F/Bed_1F_2/SM_Bed_01_S","Mat_Bed_Metal_01s"
80,208,112,"HospitalBed_2/Leg.001","BedMetal"
112,208,112,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
144,208,112,"Grime/Decal_Scratch_01_103_1","Decal_Scratch_01"
176,208,112,"ExtraProps_1F/Ext_1F_R/Valve","Prop_ExtMetal"
208,208,112,"Props_1F/prop_iv_stand_v2/IV_Leg1","IV_Rust"
240,208,112,"Props_1F/prop_fire_extinguisher/Ext_Bracket_H1","ExtSilver"
16,240,112,"ExtraProps_1F/Ext_1F_L/Cap","Prop_ExtMetal"
48,240,112,"Props_1F/prop_iv_stand_v2/Torus","IV_Metal"
80,240,112,"Door_Room2/DoorWindow","DoorWood"
112,240,112,"Props_1F/prop_magazine/Mag_Spine","Mag_Paper"
144,240,112,"Props_1F/prop_fluorescent_normal/FL_Frame","FL_Metal"
176,240,112,"Grime/Decal_Water_01_95_1","Decal_Water_01"
208,240,112,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
240,240,112,"Props_1F/prop_iv_stand_v2/IV_Bar","IV_Metal"
16,16,144,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
48,16,144,"ExtraProps_1F/Mag_1F","Prop_PaperFlat"
80,16,144,"ExtraProps_1F/Ext_1F_R/Cap","Prop_ExtMetal"
112,16,144,"Grime/Decal_Mold_02_113_1","Decal_Mold_02"
144,16,144,"Grime/Decal_Mold_01_99_1","Decal_Mold_01"
176,16,144,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,16,144,"Props_1F/prop_noticeboard/BB_Frame_B","BoardFrame"
240,16,144,"Light_4/Cap.001","FluorTube"
16,48,144,"Grime/Decal_Mold_01_18_-1","Decal_Mold_01"
48,48,144,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
80,48,144,"Props_1F/prop_side_table/ST_Body","Tbl_Metal"
112,48,144,"Props_1F/prop_blood_pressure_monitor/BP_Display","BP_Face"
144,48,144,"Door_Room2/Frame.001","DoorWood"
176,48,144,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,48,144,"Grime/Decal_Water_01_16_-1","Decal_Water_01"
240,48,144,"PackArch_1F/P_Floor_02/Object","Mat_Walllime01_C"
16,80,144,"ExtraProps_1F/NurseCounter_1F/Top","Prop_Wood"
48,80,144,"Props_1F/prop_iv_stand_v2/IV_Leg0","IV_Rust"
80,80,144,"HospitalBed_3/Leg.001","BedMetal"
112,80,144,"Props_1F/prop_side_table/ST_Leg-0.220.18","Tbl_Metal"
144,80,144,"PackProps_1F/Bedding_1F_2/SM_Bed_01_S","Mat_Bed_Metal_01s"
176,80,144,"Light_2/Housing","FluorTube"
208,80,144,"PackArch_1F/P_Wall_02/Tile02","Mat_Tile02"
240,80,144,"Props_1F/prop_noticeboard/BB_Cork","BoardCork"
16,112,144,"Door_Room1/Knob","DoorWood"
48,112,144,"Props_1F/prop_fluorescent_loose/FL_Wire","FL_Metal"
80,112,144,"Grime/Decal_Mold_02_114_-1","Decal_Mold_02"
112,112,144,"HospitalBed_3/Leg","BedMetal"
144,112,144,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
176,112,144,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
208,112,144,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
240,112,144,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
16,144,144,"Props_1F/prop_fire_extinguisher/Ext_Body","ExtRed"
48,144,144,"Grime/Decal_Scratch_01_31_1","Decal_Scratch_01"
80,144,144,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,144,144,"Grime/Decal_Mold_02_64_-1","Decal_Mold_02"
144,144,144,"Props_1F/prop_iv_stand_v2/Torus.001","IV_Metal"
176,144,144,"HospitalBed_3/Leg.002","BedMetal"
208,144,144,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
240,144,144,"Grime/Decal_Scratch_01_71_1","Decal_Scratch_01"
16,176,144,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
48,176,144,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
80,176,144,"ExtraProps_1F/NurseCounter_1F/ShelfChart_1","Prop_PaperFlat"
112,176,144,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
144,176,144,"HospitalBed_1/SideRail","BedMetal"
176,176,144,"ExtraProps_1F/Ext_1F_R/Hose1","Prop_ExtMetal"
208,176,144,"Props_1F/prop_iv_stand_v2/IV_Leg3","IV_Rust"
240,176,144,"HospitalBed_3/Headboard","BedMetal"
16,208,144,"Props_1F/prop_blood_pressure_monitor/BP_Cuff","BP_Dark"
48,208,144,"Props_1F/prop_side_table/ST_Leg0.22-0.18","Tbl_Metal"
80,208,144,"Grime/Decal_Scratch_01_6_-1","Decal_Scratch_01"
112,208,144,"Props_1F/prop_iv_stand_v2/IV_Tube","IV_Metal"
144,208,144,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
176,208,144,"Props_1F/prop_magazine/Mag_Body","Mag_Cover"
208,208,144,"ExtraProps_1F/Clock_1F_R/Glass","Prop_Glass"
240,208,144,"Props_1F/prop_window/Win_Frame_L","Win_Wood"
16,240,144,"Props_1F/prop_iv_stand_v2/IV_Leg3","IV_Rust"
48,240,144,"Props_1F/prop_window/Win_Curtain_R","Curtain"
80,240,144,"ExtraProps_1F/NurseCounter_1F/SideR","Prop_Wood"
112,240,144,"Props_1F/prop_fire_extinguisher/Ext_Nozzle","ExtBlack"
144,240,144,"CharacterShowcase_1F/Enemy_Shadow_Preview/Model","Char_ShadowFigure"
176,240,144,"PackArch_1F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,240,144,"Props_1F/prop_fluorescent_normal/FL_Mount-0.25","FL_Metal"
240,240,144,"PackArch_1F/P_Floor_02/Floor_02","Mat_Tile01"
16,16,176,"Props_1F/prop_side_table/ST_Top","Tbl_Metal"
48,16,176,"Props_1F/prop_iv_stand_v2/IV_Caster2","IV_Rust"
80,16,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
112,16,176,"Grime/Decal_Mold_01_98_-1","Decal_Mold_01"
144,16,176,"Grime/Decal_Water_01_11_1","Decal_Water_01"
176,16,176,"Props_1F/prop_fluorescent_normal/FL_Mount0.25","FL_Metal"
208,16,176,"Props_1F/prop_side_table/ST_Leg-0.22-0.18","Tbl_Metal"
240,16,176,"Props_1F/prop_iv_stand_v2/IV_Caster3","IV_Rust"
16,48,176,"Grime/Decal_Scratch_01_22_-1","Decal_Scratch_01"
48,48,176,"Props_1F/prop_fluorescent_normal/FL_Mount0.25","FL_Metal"
80,48,176,"Grime/Decal_Scratch_01_79_1","Decal_Scratch_01"
112,48,176,"Light_4/Housing","FluorTube"
144,48,176,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
176,48,176,"IVStand_2/Wheel.001","IVMetal"
208,48,176,"ExtraProps_1F/Ext_1F_L/Valve","Prop_ExtMetal"
240,48,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
16,80,176,"Grime/Decal_Water_01_92_-1","Decal_Water_01"
48,80,176,"Props_1F/prop_fire_extinguisher/Ext_Bracket_V","ExtSilver"
80,80,176,"Props_1F/prop_side_table/ST_Handle","Tbl_Metal"
112,80,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
144,80,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
176,80,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
208,80,176,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
240,80,176,"Props_1F/prop_mirror/Mir_Rust-0.3-0.4","MirRust-0.3-0.4"
16,112,176,"ExtraProps_1F/Clock_1F_L/Backing","Prop_ClockFace"
48,112,176,"Door_Room3/Frame.001","DoorWood"
80,112,176,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
112,112,176,"Grime/Decal_Scratch_01_52_-1","Decal_Scratch_01"
144,112,176,"Grime/Decal_Mold_01_25_1","Decal_Mold_01"
176,112,176,"ExtraProps_1F/IVBag_1F/Tube","Prop_ExtMetal"
208,112,176,"HospitalBed_3/Mattress","BedMetal"
240,112,176,"HospitalBed_3/Leg.003","BedMetal"
16,144,176,"Grime/Decal_Water_01_0_-1","Decal_Water_01"
48,144,176,"Light_3/Cap","FluorTube"
80,144,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
112,144,176,"Props_1F/prop_window/Win_Glass_T","Win_Glass"
144,144,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
176,144,176,"Props_1F/prop_noticeboard/BB_Frame_T","BoardFrame"
208,144,176,"PackArch_1F/P_Wall_01/Object001","Mat_Walllime01_C"
240,144,176,"Grime/Decal_Scratch_01_62_-1","Decal_Scratch_01"
16,176,176,"Props_1F/prop_window/Win_Glass_T","Win_Glass"
48,176,176,"PackArch_1F/P_Floor_01/Floor_01","Mat_Tile01"
80,176,176,"PackArch_1F/P_Wall_01/Wall_01","Mat_Tile02"
112,176,176,"Props_1F/prop_fire_extinguisher/Ext_Bracket_V","ExtSilver"
144,176,176,"Door_Room1/Frame.001","DoorWood"
