r,g,b,path,material
112,112,16,"Grime/Decal_Mold_02_357_1","Decal_Mold_02"
144,112,16,"Grime/Decal_Scratch_01_208_-1","Decal_Scratch_01"
176,112,16,"PackProps_3F/Bedding_3F_8/SM_Bed_01_S","Mat_Bed_Metal_01s"
208,112,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,112,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
16,144,16,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
48,144,16,"Grime/Decal_Mold_02_85_1","Decal_Mold_02"
80,144,16,"Grime/Decal_Mold_02_407_1","Decal_Mold_02"
112,144,16,"Grime/Decal_Mold_02_347_1","Decal_Mold_02"
144,144,16,"Grime/Decal_Water_01_183_1","Decal_Water_01"
176,144,16,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
208,144,16,"Grime/Decal_Scratch_01_531_1","Decal_Scratch_01"
240,144,16,"Grime/Decal_Scratch_01_390_-1","Decal_Scratch_01"
16,176,16,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
48,176,16,"Grime/Decal_Mold_01_106_-1","Decal_Mold_01"
80,176,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,176,16,"Grime/Decal_Mold_02_332_-1","Decal_Mold_02"
144,176,16,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
176,176,16,"PackProps_3F/Bedding_3F_11/SM_Bed_01_Base","Mat_Bed_Metal_01"
208,176,16,"Grime/Decal_Scratch_01_312_-1","Decal_Scratch_01"
240,176,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
16,208,16,"Props_3F/prop_wheelchair/WC_Arm0.24","WC_Metal"
48,208,16,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,208,16,"Grime/Decal_Mold_01_270_-1","Decal_Mold_01"
112,208,16,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
144,208,16,"PackArch_3F/P_Floor_02/Floor_02","Mat_Tile01"
176,208,16,"IsoRoom_L5_BarV1","Lit"
208,208,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
240,208,16,"Grime/Decal_Blood_02_288_-1","Decal_Blood_02"
16,240,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
48,240,16,"PackProps_3F/Bedding_3F_8/SM_BedBedding_01","M_BedBedding"
80,240,16,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
112,240,16,"Grime/Decal_Mold_02_136_-1","Decal_Mold_02"
144,240,16,"Grime/Decal_Water_01_206_-1","Decal_Water_01"
176,240,16,"PackProps_3F/Bedding_3F_11/SM_BedBedding_01","M_BedBedding"
208,240,16,"Grime/Decal_Scratch_01_449_1","Decal_Scratch_01"
240,240,16,"Grime/Decal_Mold_02_108_-1","Decal_Mold_02"
16,16,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
48,16,48,"Grime/Decal_Scratch_01_3_1","Decal_Scratch_01"
80,16,48,"Grime/Decal_Scratch_01_549_1","Decal_Scratch_01"
112,16,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
144,16,48,"Grime/Decal_Water_01_319_1","Decal_Water_01"
176,16,48,"PackArch_3F/P_Wall_02/Wall_02","Mat_Walllime01_C"
208,16,48,"Grime/Decal_Water_01_222_-1","Decal_Water_01"
240,16,48,"Grime/Decal_Water_01_64_-1","Decal_Water_01"
16,48,48,"Grime/Decal_Mold_01_157_1","Decal_Mold_01"
48,48,48,"Grime/Decal_Scratch_01_320_-1","Decal_Scratch_01"
80,48,48,"PackProps_3F/Bedding_3F_0/SM_BedBedding_01","M_BedBedding"
112,48,48,"Grime/Decal_Mold_02_287_1","Decal_Mold_02"
144,48,48,"Grime/Decal_Mold_01_561_1","Decal_Mold_01"
176,48,48,"Grime/Decal_Blood_01_360_-1","Decal_Blood_01"
208,48,48,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
240,48,48,"Grime/Decal_Mold_02_417_1","Decal_Mold_02"
16,80,48,"Grime/Decal_Mold_02_191_1","Decal_Mold_02"
48,80,48,"Grime/Decal_Water_01_410_-1","Decal_Water_01"
80,80,48,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,80,48,"Grime/Decal_Mold_02_137_1","Decal_Mold_02"
144,80,48,"Grime/Decal_Scratch_01_291_1","Decal_Scratch_01"
176,80,48,"Grime/Decal_Mold_02_325_1","Decal_Mold_02"
208,80,48,"Grime/Decal_Scratch_01_134_-1","Decal_Scratch_01"
240,80,48,"Grime/Decal_Scratch_01_418_-1","Decal_Scratch_01"
16,112,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
48,112,48,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
80,112,48,"Grime/Decal_Mold_01_149_1","Decal_Mold_01"
112,112,48,"Grime/Decal_Scratch_01_370_-1","Decal_Scratch_01"
144,112,48,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
176,112,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,112,48,"IsoRoom_R1_BarH1","Lit"
240,112,48,"Grime/Decal_Mold_01_133_1","Decal_Mold_01"
16,144,48,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
48,144,48,"Props_3F/prop_wheelchair/WC_Back","WC_Seat"
80,144,48,"Grime/Decal_Mold_01_12_-1","Decal_Mold_01"
112,144,48,"Grime/Decal_Blood_01_427_1","Decal_Blood_01"
144,144,48,"Props_3F/prop_wheelchair/WC_Foot_Bar","WC_Metal"
176,144,48,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
208,144,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,144,48,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
16,176,48,"Grime/Decal_Mold_02_501_1","Decal_Mold_02"
48,176,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
80,176,48,"Grime/Decal_Mold_02_505_1","Decal_Mold_02"
112,176,48,"IsoRoom_R2_BarH1","Lit"
144,176,48,"PackArch_3F/P_Floor_02/Floor_02","Mat_Tile01"
176,176,48,"PackProps_3F/Bedding_3F_5/SM_Bed_01_S","Mat_Bed_Metal_01s"
208,176,48,"Props_3F/prop_wheelchair/Cylinder.001","WC_Metal"
240,176,48,"PlayerOwnRoom_Calendar","Lit"
16,208,48,"Grime/Decal_Mold_01_161_1","Decal_Mold_01"
48,208,48,"Grime/Decal_Blood_01_553_1","Decal_Blood_01"
80,208,48,"ExtraProps_3F/Ext_3F_L/Cap","Prop_ExtMetal"
112,208,48,"Grime/Decal_Water_01_263_1","Decal_Water_01"
144,208,48,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
176,208,48,"PackArch_3F/P_Wall_02/Wall_02","Mat_Walllime01_C"
208,208,48,"Grime/Decal_Scratch_01_582_-1","Decal_Scratch_01"
240,208,48,"Grime/Decal_Mold_01_42_-1","Decal_Mold_01"
16,240,48,"PackProps_3F/Bed_3F_9/SM_Bed_01_S","Mat_Bed_Metal_01s"
48,240,48,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,240,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,240,48,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
144,240,48,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
176,240,48,"Grime/Decal_Mold_01_485_1","Decal_Mold_01"
208,240,48,"PackArch_3F/P_Floor_02/Floor_02","Mat_Tile01"
240,240,48,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
16,16,80,"Grime/Decal_Mold_01_252_-1","Decal_Mold_01"
48,16,80,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,16,80,"PackArch_3F/P_Floor_02/Floor_02","Mat_Tile01"
112,16,80,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
144,16,80,"PackProps_3F/Bed_3F_5/SM_Bed_01_Base","Mat_Bed_Metal_01"
176,16,80,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
208,16,80,"Grime/Decal_Water_01_385_1","Decal_Water_01"
240,16,80,"Grime/Decal_Water_01_573_1","Decal_Water_01"
16,48,80,"Grime/Decal_Mold_02_416_-1","Decal_Mold_02"
48,48,80,"Grime/Decal_Water_01_377_1","Decal_Water_01"
80,48,80,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,48,80,"Grime/Decal_Mold_02_474_-1","Decal_Mold_02"
144,48,80,"Grime/Decal_Mold_02_363_1","Decal_Mold_02"
176,48,80,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
208,48,80,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,48,80,"PackProps_3F/Bed_3F_1/SM_Bed_01_Base","Mat_Bed_Metal_01"
16,80,80,"Grime/Decal_Water_01_349_1","Decal_Water_01"
48,80,80,"Grime/Decal_Mold_02_217_1","Decal_Mold_02"
80,80,80,"Grime/Decal_Scratch_01_55_1","Decal_Scratch_01"
112,80,80,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
144,80,80,"Grime/Decal_Blood_01_383_1","Decal_Blood_01"
176,80,80,"Props_3F/prop_fluorescent_loose/FL_Cover_Hang","FL_Cover"
208,80,80,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
240,80,80,"Grime/Decal_Mold_02_308_-1","Decal_Mold_02"
16,112,80,"Grime/Decal_Water_01_482_-1","Decal_Water_01"
48,112,80,"Props_3F/prop_fluorescent_loose/FL_Frame","FL_Metal"
80,112,80,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
112,112,80,"Grime/Decal_Mold_01_584_-1","Decal_Mold_01"
144,112,80,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
176,112,80,"Grime/Decal_Water_01_186_-1","Decal_Water_01"
208,112,80,"Props_3F/prop_stretcher/S_Leg0.3-0.85","StretcherMetal"
240,112,80,"Grime/Decal_Mold_01_89_1","Decal_Mold_01"
16,144,80,"IsoRoom_L6_BarV1","Lit"
48,144,80,"PackArch_3F/P_Floor_02/Floor_02","Mat_Tile01"
80,144,80,"Grime/Decal_Water_01_238_-1","Decal_Water_01"
112,144,80,"PackProps_3F/Bed_3F_1/SM_Bed_01_S","Mat_Bed_Metal_01s"
144,144,80,"Props_3F/prop_fluorescent_broken/FL_Cover_L","BrokenGlass"
176,144,80,"Grime/Decal_Mold_01_166_-1","Decal_Mold_01"
208,144,80,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
240,144,80,"Grime/Decal_Water_01_255_1","Decal_Water_01"
16,176,80,"Grime/Decal_Water_01_348_-1","Decal_Water_01"
48,176,80,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
80,176,80,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,176,80,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
144,176,80,"Grime/Decal_Water_01_579_1","Decal_Water_01"
176,176,80,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,176,80,"PackArch_3F/P_Wall_02/Tile02","Mat_Tile02"
240,176,80,"Grime/Decal_Mold_02_299_1","Decal_Mold_02"
16,208,80,"Props_3F/prop_fluorescent_broken/PackLamp/Box001","Mat_Lamp"
48,208,80,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,208,80,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,208,80,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
144,208,80,"Grime/Decal_Scratch_01_369_1","Decal_Scratch_01"
176,208,80,"Grime/Decal_Mold_02_185_1","Decal_Mold_02"
208,208,80,"Grime/Decal_Mold_01_515_1","Decal_Mold_01"
240,208,80,"Grime/Decal_Scratch_01_164_-1","Decal_Scratch_01"
16,240,80,"IsoRoom_L6_BarH1","Lit"
48,240,80,"Grime/Decal_Mold_01_50_-1","Decal_Mold_01"
80,240,80,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
112,240,80,"Grime/Decal_Mold_01_196_-1","Decal_Mold_01"
144,240,80,"PackArch_3F/P_Wall_02/Wall_02","Mat_Walllime01_C"
176,240,80,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,240,80,"ExtraProps_3F/Ext_3F_L/Body","Prop_ExtRed"
240,240,80,"Grime/Decal_Blood_01_552_-1","Decal_Blood_01"
16,16,112,"Grime/Decal_Mold_02_467_1","Decal_Mold_02"
48,16,112,"PackProps_3F/Bedding_3F_11/SM_Bed_01_S","Mat_Bed_Metal_01s"
80,16,112,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
112,16,112,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
144,16,112,"Grime/Decal_Mold_01_227_1","Decal_Mold_01"
176,16,112,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
208,16,112,"Grime/Decal_Water_01_519_1","Decal_Water_01"
240,16,112,"Grime/Decal_Blood_01_393_1","Decal_Blood_01"
16,48,112,"Props_3F/prop_wheelchair/Torus","WC_Tire"
48,48,112,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,48,112,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,48,112,"Grime/Decal_Mold_02_520_-1","Decal_Mold_02"
144,48,112,"Grime/Decal_Water_01_315_1","Decal_Water_01"
176,48,112,"PackProps_3F/Bedding_3F_3/SM_Bed_01_S","Mat_Bed_Metal_01s"
208,48,112,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
240,48,112,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
16,80,112,"Grime/Decal_Water_01_173_1","Decal_Water_01"
48,80,112,"Grime/Decal_Water_01_506_-1","Decal_Water_01"
80,80,112,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,80,112,"Grime/Decal_Scratch_01_249_1","Decal_Scratch_01"
144,80,112,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
176,80,112,"IsoRoom_R3_BarH1","Lit"
208,80,112,"Grime/Decal_Blood_01_426_-1","Decal_Blood_01"
240,80,112,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
16,112,112,"Grime/Decal_Mold_02_406_-1","Decal_Mold_02"
48,112,112,"Props_3F/prop_wheelchair/Cylinder.010","WC_Metal"
80,112,112,"Grime/Decal_Scratch_01_566_-1","Decal_Scratch_01"
112,112,112,"Grime/Decal_Mold_02_387_1","Decal_Mold_02"
144,112,112,"Grime/Decal_Water_01_316_-1","Decal_Water_01"
176,112,112,"Grime/Decal_Water_01_138_-1","Decal_Water_01"
208,112,112,"Grime/Decal_Scratch_01_480_-1","Decal_Scratch_01"
240,112,112,"Grime/Decal_Water_01_518_-1","Decal_Water_01"
16,144,112,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
48,144,112,"Grime/Decal_Water_01_425_1","Decal_Water_01"
80,144,112,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,144,112,"Grime/Decal_Water_01_113_1","Decal_Water_01"
144,144,112,"Grime/Decal_Scratch_01_70_-1","Decal_Scratch_01"
176,144,112,"Grime/Decal_Scratch_01_493_1","Decal_Scratch_01"
208,144,112,"Props_3F/prop_stretcher/S_Caster-0.30.85","StretcherRust"
240,144,112,"Grime/Decal_Water_01_254_-1","Decal_Water_01"
16,176,112,"Grime/Decal_Scratch_01_355_1","Decal_Scratch_01"
48,176,112,"Grime/Decal_Scratch_01_27_1","Decal_Scratch_01"
80,176,112,"Grime/Decal_Mold_02_25_1","Decal_Mold_02"
112,176,112,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
144,176,112,"ExtraProps_3F/Ext_3F_R/Valve","Prop_ExtMetal"
176,176,112,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
208,176,112,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
240,176,112,"Grime/Decal_Scratch_01_165_1","Decal_Scratch_01"
16,208,112,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
48,208,112,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
80,208,112,"Grime/Decal_Scratch_01_79_1","Decal_Scratch_01"
112,208,112,"IsoRoom_L6_BarH2","Lit"
144,208,112,"Grime/Decal_Scratch_01_368_-1","Decal_Scratch_01"
176,208,112,"Grime/Decal_Mold_01_431_1","Decal_Mold_01"
208,208,112,"Grime/Decal_Scratch_01_491_1","Decal_Scratch_01"
240,208,112,"Grime/Decal_Blood_01_20_-1","Decal_Blood_01"
16,240,112,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
48,240,112,"PackProps_3F/Bedding_3F_1/SM_BedBedding_01","M_BedBedding"
80,240,112,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,240,112,"Grime/Decal_Mold_02_356_-1","Decal_Mold_02"
144,240,112,"Props_3F/prop_wheelchair/Cylinder.009","WC_Metal"
176,240,112,"Grime/Decal_Mold_01_80_-1","Decal_Mold_01"
208,240,112,"Grime/Decal_Water_01_58_-1","Decal_Water_01"
240,240,112,"Props_3F/prop_wheelchair/Cylinder.011","WC_Metal"
16,16,144,"Grime/Decal_Scratch_01_389_1","Decal_Scratch_01"
48,16,144,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
80,16,144,"Grime/Decal_Mold_02_401_1","Decal_Mold_02"
112,16,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
144,16,144,"PackProps_3F/Bed_3F_4/SM_Bed_01_S","Mat_Bed_Metal_01s"
176,16,144,"Grime/Decal_Mold_01_88_-1","Decal_Mold_01"
208,16,144,"Grime/Decal_Water_01_224_-1","Decal_Water_01"
240,16,144,"Grime/Decal_Scratch_01_54_-1","Decal_Scratch_01"
16,48,144,"Grime/Decal_Mold_02_92_-1","Decal_Mold_02"
48,48,144,"Grime/Decal_Mold_01_192_-1","Decal_Mold_01"
80,48,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
112,48,144,"Grime/Decal_Mold_01_43_1","Decal_Mold_01"
144,48,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
176,48,144,"Grime/Decal_Water_01_195_1","Decal_Water_01"
208,48,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
240,48,144,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
16,80,144,"IsoRoom_L6_BarV2","Lit"
48,80,144,"ExtraProps_3F/Clock_3F_L/Face","Prop_ClockFace"
80,80,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
112,80,144,"Grime/Decal_Water_01_250_-1","Decal_Water_01"
144,80,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
176,80,144,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
208,80,144,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,80,144,"Grime/Decal_Mold_02_35_1","Decal_Mold_02"
16,112,144,"Grime/Decal_Mold_02_504_-1","Decal_Mold_02"
48,112,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,112,144,"ObsRoom_Window","Lit"
112,112,144,"PlayerOwnRoom_Desk","Lit"
144,112,144,"IsoRoom_L3_BarH1","Lit"
176,112,144,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
208,112,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
240,112,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
16,144,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
48,144,144,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
80,144,144,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
112,144,144,"ExtraProps_3F/Ext_3F_R/Bracket","Prop_ExtMetal"
144,144,144,"PackArch_3F/P_Floor_02/Floor_02","Mat_Tile01"
176,144,144,"PackArch_3F/P_Floor_02/Object","Mat_Walllime01_C"
208,144,144,"Grime/Decal_Water_01_539_1","Decal_Water_01"
240,144,144,"PackProps_3F/Bedding_3F_5/SM_Bed_01_Base","Mat_Bed_Metal_01"
16,176,144,"ObsRoom_Table","Lit"
48,176,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
80,176,144,"Grime/Decal_Water_01_52_-1","Decal_Water_01"
112,176,144,"Props_3F/prop_fluorescent_broken/FL_Cover_L","BrokenGlass"
144,176,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
176,176,144,"Grime/Decal_Scratch_01_269_1","Decal_Scratch_01"
208,176,144,"Grime/Decal_Scratch_01_279_1","Decal_Scratch_01"
240,176,144,"IsoRoom_L4_BarH1","Lit"
16,208,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
48,208,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
80,208,144,"PackProps_3F/Bedding_3F_2/SM_BedBedding_01","M_BedBedding"
112,208,144,"Grime/Decal_Water_01_411_1","Decal_Water_01"
144,208,144,"Grime/Decal_Scratch_01_391_1","Decal_Scratch_01"
176,208,144,"Enemy/Visual","Char_GuardUniform"
208,208,144,"PackProps_3F/Bedding_3F_8/SM_Bed_01_Base","Mat_Bed_Metal_01"
240,208,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
16,240,144,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
48,240,144,"Props_3F/prop_wheelchair/WC_Foot_Bar","WC_Metal"
80,240,144,"Grime/Decal_Scratch_01_477_1","Decal_Scratch_01"
112,240,144,"Grime/Decal_Mold_01_422_-1","Decal_Mold_01"
144,240,144,"Grime/Decal_Water_01_462_-1","Decal_Water_01"
176,240,144,"Props_3F/prop_wheelchair/Cylinder.008","WC_Metal"
208,240,144,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
240,240,144,"Grime/Decal_Mold_02_95_1","Decal_Mold_02"
16,16,176,"Grime/Decal_Scratch_01_103_1","Decal_Scratch_01"
48,16,176,"PackArch_3F/P_Wall_01/Wall_01","Mat_Tile02"
80,16,176,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
112,16,176,"IsoRoom_L3_BarH2","Lit"
144,16,176,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
176,16,176,"Grime/Decal_Water_01_343_1","Decal_Water_01"
208,16,176,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,16,176,"Props_3F/prop_wheelchair/Cylinder.001","WC_Metal"
16,48,176,"PackProps_3F/Bed_3F_9/SM_Bed_01_Base","Mat_Bed_Metal_01"
48,48,176,"Grime/Decal_Mold_01_310_-1","Decal_Mold_01"
80,48,176,"PackArch_3F/P_Floor_02/Floor_02","Mat_Tile01"
112,48,176,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
144,48,176,"Grime/Decal_Water_01_76_-1","Decal_Water_01"
176,48,176,"Grime/Decal_Water_01_580_-1","Decal_Water_01"
208,48,176,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
240,48,176,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
16,80,176,"Grime/Decal_Scratch_01_440_-1","Decal_Scratch_01"
48,80,176,"Grime/Decal_Water_01_262_-1","Decal_Water_01"
80,80,176,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
112,80,176,"IsoRoom_L3_BarV1","Lit"
144,80,176,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
176,80,176,"Grime/Decal_Water_01_229_1","Decal_Water_01"
208,80,176,"Grime/Decal_Scratch_01_502_-1","Decal_Scratch_01"
240,80,176,"PackArch_3F/P_Floor_01/Floor_01","Mat_Tile01"
16,112,176,"Grime/Decal_Mold_01_141_1","Decal_Mold_01"
48,112,176,"ExtraProps_3F/Clock_3F_L/Backing","Prop_ClockFace"
80,112,176,"IsoRoom_L5_BarH2","Lit"
112,112,176,"Grime/Decal_Mold_01_438_-1","Decal_Mold_01"
144,112,176,"Grime/Decal_Scratch_01_285_1","Decal_Scratch_01"
176,112,176,"Grime/Decal_Mold_01_8_-1","Decal_Mold_01"
208,112,176,"Grime/Decal_Water_01_499_1","Decal_Water_01"
240,112,176,"PackArch_3F/P_Wall_01/Object001","Mat_Walllime01_C"
16,144,176,"IsoRoom_L4_BarV1","Lit"
48,144,176,"Grime/Decal_Water_01_330_-1","Decal_Water_01"
80,144,176,"Grime/Decal_Mold_02_466_-1","Decal_Mold_02"
112,144,176,"Grime/Decal_Scratch_01_68_-1","Decal_Scratch_01"
144,144,176,"Grime/Decal_Water_01_221_1","Decal_Water_01"
176,144,176,"PackArch_3F/P_Floor_01/Floor_01","Mat_Ceiling_Bright"
208,144,176,"Grime/Decal_Mold_01_473_1","Decal_Mold_01"
240,144,176,"Grime/Decal_Water_01_470_-1","Decal_Water_01"
16,176,176,"Grime/Decal_Mold_01_447_1","Decal_Mold_01"
48,176,176,"Grime/Decal_Water_01_277_1","Decal_Water_01"
80,176,176,"Props_3F/prop_wheelchair/WC_Foot_R","WC_Metal"
112,176,176,"Wainscot_3F/TL","Trim_Dark"
144,176,176,"Grime/Decal_Mold_02_303_1","Decal_Mold_02"
